ogc_fid,zoning,acres,obb_length_ft,obb_width_ft,fill_ratio,network,streets_across,lots,irregular_lots,lot_width_ft,lot_depth_ft,buildable_depth_ft,streets,courts,pct_row,pct_alleys,pct_lots,pct_residual,pct_hazard,hazard_coverage,du_ac,access_mode,error,generator_version
683836,AR2A,37.22,3242,821,0.609,ladder,2,0,0,500,175,135,7,0,20.4,0,0,76.4,4.5,ingested,0,start,,subdivision_v1.1
683839,RS80,20.35,1344,960,0.687,ladder,2,4,0,385,210,170,4,1,16.5,0,36.7,36.7,0.7,ingested,0.2,end,,subdivision_v1.1
683842,AR2A,26.34,2057,767,0.727,ladder,2,0,0,545,160,120,5,0,21,0,0,75.8,4.0,ingested,0,start,,subdivision_v1.1
683845,AR2A,20.41,1398,732,0.869,ladder,2,1,0,565,155,115,4,2,19.2,0,9.9,51.8,0.1,ingested,0.05,start,,subdivision_v1.1
683884,RS80,17.02,1130,1092,0.601,ladder,2,0,0,365,220,180,3,3,14.1,0,0,52,0.0,ingested,0,end,,subdivision_v1.1
683898,AR2A,70.31,3026,1190,0.851,ladder,2,9,1,400,220,180,7,9,14.1,0,28,23.2,7.2,ingested,0.13,start,,subdivision_v1.1
683899,R40,11.21,961,623,0.816,spine,1,4,1,185,220,180,1,2,10.4,0,37.8,16.9,17.7,ingested,0.36,end,,subdivision_v1.1
683905,R20,12.04,1372,579,0.661,spine,1,11,2,115,175,135,1,3,11.8,4.4,50.3,18.7,0.9,ingested,0.91,start,,subdivision_v1.1
683933,AR2A,24.57,1841,824,0.706,ladder,2,0,0,500,175,135,5,1,21.1,0,0,71.1,0.0,ingested,0,start,,subdivision_v1.1
683972,R40,9.97,948,816,0.561,ladder,2,3,0,230,175,135,3,0,16.1,0,27.8,49.4,6.7,ingested,0.3,both,,subdivision_v1.1
683995,AR2A,27.73,1641,1212,0.607,grid,3,0,0,515,170,130,5,1,19.3,0,0,69.7,4.9,ingested,0,start,,subdivision_v1.1
684017,AR2A,50.62,3093,1487,0.479,grid,3,4,0,400,220,180,8,5,18.8,0,15.8,42.6,4.6,ingested,0.08,start,,subdivision_v1.1
684050,RS80,22.52,1832,1235,0.434,ladder,2,2,0,365,220,180,5,2,12.1,0,17.9,49.8,4.0,ingested,0.09,end,,subdivision_v1.1
684057,R20,111.68,4277,1839,0.619,grid,4,119,11,115,175,135,11,21,20,3.4,50.1,15.4,2.9,ingested,1.07,both,,subdivision_v1.1
684080,AR2A,43.3,3056,631,0.978,ladder,2,1,0,675,130,90,7,6,21.5,0,4.6,43.6,4.0,ingested,0.02,start,,subdivision_v1.1
684087,RS40,10.12,927,694,0.685,ladder,2,0,0,280,145,105,3,2,21.6,0,0,42.7,24.0,ingested,0,start,,subdivision_v1.1
684089,R20,4.55,1644,236,0.512,single_loaded,1,0,0,115,175,135,1,0,22,0,0,69.4,9.7,ingested,0,end,,subdivision_v1.1
684113,R20,12.47,1014,755,0.71,ladder,2,9,0,140,145,105,3,4,18.2,4.7,33.7,20.8,9.2,ingested,0.72,start,,subdivision_v1.1
684123,R20,8.38,1062,1006,0.342,ladder,2,7,0,115,175,135,3,1,17.3,3.8,39.5,33.7,0.3,ingested,0.83,start,,subdivision_v1.1
684143,AR2A,39.47,2430,1087,0.651,ladder,2,4,2,400,220,180,6,4,18.7,0,21.3,35.1,4.9,ingested,0.1,start,,subdivision_v1.1
684147,R20,8.9,1157,506,0.663,spine,1,1,0,115,175,135,1,1,16,1.2,6.1,19.9,61.2,ingested,0.11,start,,subdivision_v1.1
